database_name	LIPIDMAPS
database_version	18Mar14
254.224581	C16H30O2	LMFA01020142
212.17763	C13H24O2	LMFA01020143
130.09938	C7H14O2	LMFA01020144
130.09938	C7H14O2	LMFA01020145
130.09938	C7H14O2	LMFA01020146
144.11503	C8H16O2	LMFA01020147
144.11503	C8H16O2	LMFA01020148
144.11503	C8H16O2	LMFA01020149
144.11503	C8H16O2	LMFA01020150
144.11503	C8H16O2	LMFA01020151
158.13068	C9H18O2	LMFA01020152
158.13068	C9H18O2	LMFA01020153
172.14633	C10H20O2	LMFA01020154
186.16198	C11H22O2	LMFA01020155
200.17763	C12H24O2	LMFA01020156
214.19328	C13H26O2	LMFA01020157
228.20893	C14H28O2	LMFA01020158
228.20893	C14H28O2	LMFA01020159
228.20893	C14H28O2	LMFA01020160
228.20893	C14H28O2	LMFA01020161
242.224581	C15H30O2	LMFA01020162
242.224581	C15H30O2	LMFA01020163
256.240231	C16H32O2	LMFA01020164
256.240231	C16H32O2	LMFA01020165
256.240231	C16H32O2	LMFA01020166
256.240231	C16H32O2	LMFA01020167
256.240231	C16H32O2	LMFA01020168
256.240231	C16H32O2	LMFA01020169
256.240231	C16H32O2	LMFA01020170
256.240231	C16H32O2	LMFA01020171
256.240231	C16H32O2	LMFA01020172
256.240231	C16H32O2	LMFA01020173
284.271531	C18H36O2	LMFA01020175
298.287181	C19H38O2	LMFA01020176
298.287181	C19H38O2	LMFA01020177
102.06808	C5H10O2	LMFA01020181
186.16198	C11H22O2	LMFA01020182
186.16198	C11H22O2	LMFA01020183
186.16198	C11H22O2	LMFA01020184
186.16198	C11H22O2	LMFA01020185
186.16198	C11H22O2	LMFA01020186
186.16198	C11H22O2	LMFA01020187
186.16198	C11H22O2	LMFA01020188
228.20893	C14H28O2	LMFA01020189
228.20893	C14H28O2	LMFA01020190
228.20893	C14H28O2	LMFA01020191
256.240231	C16H32O2	LMFA01020192
270.255881	C17H34O2	LMFA01020193
270.255881	C17H34O2	LMFA01020194
270.255881	C17H34O2	LMFA01020195
270.255881	C17H34O2	LMFA01020196
270.255881	C17H34O2	LMFA01020197
270.255881	C17H34O2	LMFA01020198
270.255881	C17H34O2	LMFA01020199
270.255881	C17H34O2	LMFA01020200
270.255881	C17H34O2	LMFA01020201
270.255881	C17H34O2	LMFA01020202
268.240231	C17H32O2	LMFA01020203
268.240231	C17H32O2	LMFA01020204
284.271531	C18H36O2	LMFA01020205
282.255881	C18H34O2	LMFA01020206
280.240231	C18H32O2	LMFA01020207
280.240231	C18H32O2	LMFA01020208
278.224581	C18H30O2	LMFA01020209
298.287181	C19H38O2	LMFA01020210
298.287181	C19H38O2	LMFA01020211
298.287181	C19H38O2	LMFA01020212
298.287181	C19H38O2	LMFA01020213
298.287181	C19H38O2	LMFA01020214
298.287181	C19H38O2	LMFA01020215
298.287181	C19H38O2	LMFA01020216
298.287181	C19H38O2	LMFA01020217
298.287181	C19H38O2	LMFA01020218
298.287181	C19H38O2	LMFA01020219
312.302831	C20H40O2	LMFA01020220
306.255881	C20H34O2	LMFA01020221
304.240231	C20H32O2	LMFA01020222
326.318481	C21H42O2	LMFA01020223
322.287181	C21H38O2	LMFA01020224
322.287181	C21H38O2	LMFA01020225
322.287181	C21H38O2	LMFA01020226
340.334131	C22H44O2	LMFA01020227
340.334131	C22H44O2	LMFA01020228
368.365431	C24H48O2	LMFA01020229
354.349781	C23H46O2	LMFA01020230
368.365431	C24H48O2	LMFA01020231
368.365431	C24H48O2	LMFA01020232
378.349781	C25H46O2	LMFA01020233
452.459331	C30H60O2	LMFA01020234
144.11503	C8H16O2	LMFA01020242
158.13068	C9H18O2	LMFA01020243
158.13068	C9H18O2	LMFA01020244
158.13068	C9H18O2	LMFA01020245
172.14633	C10H20O2	LMFA01020246
172.14633	C10H20O2	LMFA01020247
242.224581	C15H30O2	LMFA01020248
256.240231	C16H32O2	LMFA01020249
336.302831	C22H40O2	LMFA01020253
334.287181	C22H38O2	LMFA01020254
334.287181	C22H38O2	LMFA01020255
408.396731	C27H52O2	LMFA01020256
186.16198	C11H22O2	LMFA01020261
214.19328	C13H26O2	LMFA01020262
296.271531	C19H36O2	LMFA01020263
408.396731	C27H52O2	LMFA01020264
270.255881	C17H34O2	LMFA01020265
268.240231	C17H32O2	LMFA01020266
268.240231	C17H32O2	LMFA01020267
268.240231	C17H32O2	LMFA01020268
158.13068	C9H18O2	LMFA01020270
228.20893	C14H28O2	LMFA01020272
564.584531	C38H76O2	LMFA01020273
116.047345	C5H8O3	LMFA01020274
130.062995	C6H10O3	LMFA01020275
130.062995	C6H10O3	LMFA01020276
132.04226	C5H8O4	LMFA01020277
146.05791	C6H10O4	LMFA01020278
266.188195	C16H26O3	LMFA01020279
130.062995	C6H10O3	LMFA01020280
270.255881	C17H34O2	LMFA01020281
144.11503	C8H16O2	LMFA01020283
228.20893	C14H28O2	LMFA01020285
186.16198	C11H22O2	LMFA01020288
256.240231	C16H32O2	LMFA01020289
360.230061	C22H32O4	LMFA01020290
144.11503	C8H16O2	LMFA01020291
284.271531	C18H36O2	LMFA01020292
368.365431	C24H48O2	LMFA01020293
382.381081	C25H50O2	LMFA01020294
396.396731	C26H52O2	LMFA01020295
466.474981	C31H62O2	LMFA01020296
494.506281	C33H66O2	LMFA01020297
